,id,tweet_text,sentiment,threshold,tokens,sentiment_score
10,10010,im so mad about power rangers. im incensed. im furious.,anger,0.667,"['mad', 'power', 'ranger', 'incens', 'furious']",0.75
11,10011,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger,0.854,"['not', 'use', 'use', 'guy', 'not', 'get', 'noth', 'right', 'fume']",0.75
12,10012,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.854,"['bitch', 'aggrav', 'like', 'inspir', 'biggest', 'cunt', 'known', 'man', 'kind']",0.75
13,10013,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938,"['come', 'glasgow', 'night', 'work', 'fuck', 'gut', 'wait', 'appear', 'age', 'rage']",0.75
14,10014,Fuking fuming 😤,anger,0.854,"['fuke', 'fume']",0.75
15,10015,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,anger,0.854,"['zero', 'help', 'custom', 'servic', 'push', 'buck', 'back', 'forth', 'promis', 'callback', 'not', 'happen', 'anger', 'loath']",0.75
16,10016,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.854,"['not', 'mention', 'gra', 'guy', 'stop', 'let', 'us', 'ppl', 'front', 'go', 'wtf', 'blood', 'boil']",0.75
17,10017,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,0.833,"['hate', 'lawn', 'mower', 'soul', 'would', 'condemn', 'fieri', 'pit', 'hell']",0.75
18,10018,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833,"['peopl', 'offend', 'kendal', 'end', 'photo', 'shoot', 'like', 'serious', 'shut', 'fuck']",0.75
19,10019,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812,"['block', 'everyon', 'everywher', 'post', 'storm', 'think', 'everyon', 'awar', 'damn', 'rain', 'not', 'quit', 'damn']",0.75
20,10020,Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger,0.812,"['make', 'buddi', 'cri', 'bitch', 'wait', 'reveng']",0.75
21,10021,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger,0.891,"['bes', 'not', 'tell', 'true', 'blood', 'hoopjunki', 'switch', 'f', 'c', 'n', 'team', 'juz', 'destroy', 'team', 'juz', 'not', 'insult']",0.75
22,10022,I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger,0.812,"['got', 'respons', 'irat', 'custom', 'amazon', 'not', 'understand', 'not', 'alway', 'amazon']",0.75
23,10023,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger,0.812,"['taser', 'immobil', 'taser', 'someon', 'fuck', 'need', 'shoot', 'one', 'second', 'later', 'realli', 'sick', 'rage', 'wtf', 'murder']",0.75
24,10024,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,0.792,"['way', 'blood', 'boil', 'littl', 'bastard']",0.75
25,10025,Actually fuming I have nothing to wear Saturday,anger,0.792,"['actual', 'fume', 'noth', 'wear', 'saturday']",0.75
26,10026,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,"['straight', 'peopl', 'even', 'ars', 'straight', 'guy', 'think', 'mean', 'threesom', 'fine', 'angri', 'fume']",0.75
27,10027,Bloody parking ticket 😒💸 #fuming,anger,0.792,"['bloodi', 'park', 'ticket', 'fume']",0.75
28,10028,You ever just find that the people around you really irritate you sometimes? That's me right now 😒,anger,0.792,"['ever', 'find', 'peopl', 'around', 'realli', 'irrit', 'sometim', 'right']",0.75
29,10029,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792,"['get', 'angri', 'peopl', 'not', 'know', 'not', 'stop', 'sign', 'franci', 'foster', 'road']",0.75
30,10030,"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792,"['fuck', 'boil', 'insid', 'not', 'go', 'good', 'let']",0.75
31,10031,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger,0.792,"['wow', 'bill', 'hav', 'text', 'prove', 'taken', 'swine', 'fume', 'con']",0.75
32,10032,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger,0.792,"['blame', 'whole', 'season', 'natali', 'season', 'would', 'differ', 'not', 'turn', 'back', 'allianc', 'piss']",0.75
33,10033,Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger,0.792,"['sinc', 'lose', 'power', 'near', 'faster', 'furious']",0.75
34,10034,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,0.792,"['fli', 'fit', 'rage', 'not', 'fair']",0.75
35,10035,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,0.792,"['unbeliev', 'take', 'minut', 'get', 'fault', 'call', 'hang', 'fume', 'treatcustomersfair']",0.75
36,10036,@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger,0.792,"['blame', 'fuck', 'idiot', 'put', 'world', 'middl', 'tantrum', 'one']",0.75
37,10037,@SunandBeachBum 'you people' infuriate me!,anger,0.792,"['peopl', 'infuri']",0.75
38,10038,@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792,"['mine', 'parti', 'decid', 'parti', 'slowli', 'transform', 'veng', 'white', 'male', 'resent']",0.75
39,10039,So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger,0.771,"['angri', 'order', 'month', 'ago', 'place', 'order', 'card', 'bill', 'never', 'receiv']",0.75
40,10040,Still can't log into my fucking Snapchat#Snapchat #snap,anger,0.9,"['still', 'not', 'log', 'fuck', 'snapchatsnapchat', 'snap']",0.75
41,10041,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger,0.771,"['yes', 'not', 'help', 'need', 'sort', 'soon', 'possibl', 'keep', 'promis', 'stuff', 'not', 'happen', 'fume']",0.75
42,10042,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger,0.771,"['someon', 'let', 'snake', 'hous', 'bet', 'kill', 'bugger', 'get', 'hand', 'rage']",0.75
43,10043,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger,0.771,"['ef', 'whichev', 'butt', 'wipe', 'pull', 'fire', 'alarm', 'davi', 'bc', 'sound', 'asleep', 'piss', 'upset', 'tire', 'sad', 'tire', 'hangri']",0.75
44,10044,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",anger,0.733,"['come', 'glasgow', 'night', 'work', 'fuck', 'gut', 'wait', 'appear', 'age']",0.75
45,10045,i feel furious,anger,0.771,"['feel', 'furious']",0.75
46,10046,Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.771,"['mexican', 'ladi', 'irrit', 'fuck', 'outta', 'lil', 'preschool', 'fuck', 'kid', 'welfar', 'amp', 'allat', 'smh']",0.75
47,10047,Still can't log into my fucking Snapchat #Snapchat ,anger,0.771,"['still', 'not', 'log', 'fuck', 'snapchat', 'snapchat']",0.75
48,10048,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger,0.771,"['blame', 'whole', 'season', 'natali', 'season', 'would', 'differ', 'not', 'turn', 'back', 'allianc', 'piss', 'bitter']",0.75
49,10049,People irritate my MF soul,anger,0.771,"['peopl', 'irrit', 'mf', 'soul']",0.75
50,10050,Im so angry 😂🙃,anger,0.75,['angri'],0.75
51,10051,People fuckin irritate me,anger,0.75,"['peopl', 'fuckin', 'irrit']",0.75
52,10052,"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger,0.84,"['cruel', 'cruel', 'man', 'therewillbeblood', 'reveng']",0.75
53,10053,That way ur so angry you can literally feel ur blood boiling,anger,0.75,"['way', 'ur', 'angri', 'liter', 'feel', 'ur', 'blood', 'boil']",0.75
54,10054,@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger,0.75,"['amount', 'greedi', 'mooch', 'make', 'snarl']",0.75
55,10055,My mind is raging and i just want to end it all,anger,0.75,"['mind', 'rage', 'want', 'end']",0.75
56,10056,Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,anger,0.75,"['absolut', 'fume', 'woman', 'jump', 'prebook', 'taxi', 'drove']",0.75
57,10057,I'm nothing but a hateful and bitter fag,anger,0.75,"['noth', 'hate', 'bitter', 'fag']",0.75
58,10058,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,0.75,"['someth', 'need', 'done', 'peopl', 'hog', 'machin', 'nobodi', 'use', 'machin', 'one', 'time', 'angri', 'notfair', 'whypay']",0.75
59,10059,@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger,0.75,"['ikr', 'peopl', 'still', 'got', 'grudg', 'reason', 'like', 'wtf']",0.75
60,10060,@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,0.75,"['said', 'talk', 'will', 'uncontrol', 'anim', 'move', 'anoth', 'link', 'comment', 'not', 'help', 'fume']",0.75
61,10061,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger,0.844,"['bad', 'news', 'order', 'onlin', 'not', 'gone', 'happen', 'order', 'phone', 'furious']",0.75
62,10062,So angry I wanna cry😢😢😢,anger,0.75,"['angri', 'want', 'cri']",0.75
63,10063,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger,0.75,"['ooh', 'god', 'uugghh']",0.75
64,10064,Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger,0.75,"['boycot', 'till', 'butter', 'pecan', 'come', 'back', 'furious']",0.75
65,10065,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger,0.885,"['black', 'peopl', 'still', 'fight', 'recogn', 'human', 'be', 'cantsleep', 'angri']",0.75
66,10066,my mom cut my phone off and I'm so furious 🤗,anger,0.75,"['mom', 'cut', 'phone', 'furious']",0.75
67,10067,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75,"['thing', 'feed', 'naay', 'rage', 'someth', 'brother', 'fill', 'gap']",0.75
68,10068,can't believe Achilles killed me! #angry,anger,0.75,"['not', 'believ', 'achill', 'kill', 'angri']",0.75
69,10069,I lost a couple niggas I want revenge so put me in coach,anger,0.875,"['lost', 'coupl', 'nigga', 'want', 'reveng', 'put', 'coach']",0.75
70,10070,@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕,anger,0.75,"['poor', 'packag', 'amazon', 'fulfil', 'seller', 'furious', 'much']",0.75
71,10071,Where's your outrage when a black man kills another black man in the streets?,anger,0.75,"['outrag', 'black', 'man', 'kill', 'anoth', 'black', 'man', 'street']",0.75
72,10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,"['make', 'fuck', 'irat', 'jesus', 'nobodi', 'call', 'ppl', 'like', 'hajim', 'abus', 'stop', 'strawmen', 'lmao']",0.75
73,10073,Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡,anger,0.75,"['absolut', 'fume', 'scratch', 'car']",0.75
74,10074,@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger,0.553,"['holi', 'shit', 'bee', 'sting', 'like', 'fuck', 'not', 'die']",0.75
75,10075,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,anger,0.729,"['fu', 'k', 'heck', 'move', 'fridg', 'knock', 'landlord', 'door', 'mad']",0.75
76,10076,I dislike people who get offended by the littlest shit .,anger,0.729,"['dislik', 'peopl', 'get', 'offend', 'littlest', 'shit']",0.75
77,10077,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger,0.729,"['fuck', 'suppos', 'lunch', 'dinner', 'money', 'work', 'furious', 'hangri']",0.75
78,10078,"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger,0.729,"['one', 'person', 'ruin', 'season', 'angri']",0.75
79,10079,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,0.729,"['fuck', 'suppos', 'lunch', 'dinner', 'money', 'work', 'hangri']",0.75
80,10080,@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger,0.864,"['not', 'buse', 'unreli', 'e', 'ticket', 'app', 'unabl', 'get', 'two', 'buse', 'late', 'work', 'fume', 'useless', 'repli']",0.75
81,10081,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger,0.729,"['indian', 'uber', 'driver', 'call', 'someon', 'n', 'word', 'not', 'move', 'vehicl', 'would', 'jump', 'disgust', 'offend']",0.75
82,10082,"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863,"['liber', 'outrag', 'king', 'say', 'realli', 'anger', 'white', 'yuppi', 'progress', 'go', 'fuck', 'shame', 'black']",0.75
83,10083,Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer #angry,anger,0.729,"['paid', 'chicken', 'not', 'even', 'get', 'goe', 'dollar', 'custom', 'angri']",0.75
84,10084,but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.729,"['mistak', 'half', 'ass', 'excus', 'burn', 'hell', 'forev']",0.75
85,10085,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,0.873,"['year', 'irrelev', 'absolut', 'joke', 'manutd', 'ticket', 'fume', 'noloyalti', 'joke', 'notimpress']",0.75
86,10086,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,0.538,"['part', 'buzz', 'cheeki', 'squashi', 'not', 'food', 'angri']",0.75
87,10087,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger,0.729,"['taser', 'immobil', 'taser', 'someon', 'fuck', 'need', 'shoot', 'one', 'second', 'later', 'realli', 'sick', 'wtf', 'murder']",0.75
88,10088,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,anger,0.729,"['bes', 'not', 'tell', 'true', 'blood', 'hoopjunki', 'switch', 'f', 'c', 'n', 'team', 'juz', 'destroy', 'team', 'juz', 'not']",0.75
89,10089,@ChurdAllan fucked my coupon that goal! #raging,anger,0.729,"['fuck', 'coupon', 'goal', 'rage']",0.75
90,10090,LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger,0.729,"['lvg', 'bribe', 'ref', 'utd', 'person', 'reveng', 'foul', 'prick']",0.75
91,10091,"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger,0.729,"['whole', 'clown', 'rage', 'scare', 'shitless', 'go', 'go', 'cri', 'room']",0.75
92,10092,Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,anger,0.729,"['worst', 'juror', 'ever', 'michell', 'nicol', 'biggest', 'threat', 'bitter']",0.75
93,10093,Your twitter picture just makes me fume.,anger,0.729,"['twitter', 'pictur', 'make', 'fume']",0.75
94,10094,"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger,0.775,"['cruel', 'cruel', 'man', 'therewillbeblood']",0.75
95,10095,"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger,0.867,"['realli', 'madden', 'career', 'game', 'suck', 'ea', 'sport', 'piss', 'poor', 'job', 'everi', 'year', 'shit']",0.75
96,10096,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger,0.831,"['ha', 'right', 'san', 'jose', 'ca', 'offend', 'right', 'dave', 'go', 'walk', 'someth', 'next', 'time']",0.75
97,10097,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,anger,0.708,"['someth', 'need', 'done', 'peopl', 'hog', 'machin', 'nobodi', 'use', 'machin', 'one', 'time', 'notfair', 'whypay']",0.75
98,10098,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger,0.708,"['wonder', 'american', 'citi', 'next', 'protest', 'polic', 'shoot', 'next', 'smh', 'whenwillitstop', 'angri', 'howmanymoretim']",0.75
99,10099,@politico @realDonaldTrump another angry white man!,anger,0.708,"['anoth', 'angri', 'white', 'man']",0.75
100,10100,Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759,"['wee', 'pop', 'sock', 'keep', 'fall', 'insid', 'shoe', 'rage']",0.75
101,10101,"The majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862,"['major', 'peopl', 'irrit', 'fuck', 'cba', 'peopl', 'ahahah']",0.75
102,10102,@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger,0.708,"['multimillionair', 'spoil', 'brat', 'get', 'self', 'righteous', 'huff', 'bc', 'friend', 'muslim', 'non', 'starter', 'bye']",0.75
103,10103,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger,0.708,"['not', 'use', 'use', 'guy', 'not', 'get', 'noth', 'right']",0.75
104,10104,@kingvee_ don't provoke me to anger,anger,0.708,"['not', 'provok', 'anger']",0.75
105,10105,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708,"['complain', 'time', 'wonder', 'peopl', 'never', 'want', 'see', 'acc', 'rile', 'stfuu']",0.75
106,10106,Bloods boiling,anger,0.708,"['blood', 'boil']",0.75
107,10107,"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger,0.708,"['leav', 'rule', 'nimber', 'carpet', 'clean', 'furious', 'worsethananatomicbomb', 'accidentlyspillbeeronthecarpet']",0.75
108,10108,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger,0.817,"['wallah', 'blood', 'boil', 'need', 'take', 'nap', 'ugh']",0.75
109,10109,I swear if @devincameron23 blocks me I'm going to hit her back ,anger,0.708,"['swear', 'block', 'go', 'hit', 'back']",0.75
110,10110,"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708,"['angri', 'student', 'racist', 'teacher', 'not', 'stop', 'class', 'let', 'go']",0.75
111,10111,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger,0.708,"['block', 'everyon', 'everywher', 'post', 'storm', 'think', 'everyon', 'awar', 'damn', 'rain', 'not', 'quit', 'damn', 'rage']",0.75
112,10112,I'm just a fuming ball of anger today 🙃,anger,0.708,"['fume', 'ball', 'anger', 'today']",0.75
113,10113,I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,0.75,"['not', 'find', 'till', 'today', 'due', 'bff', 'tell', 'disgust', 'offend']",0.75
114,10114,@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,0.688,"['thank', 'say', 'wife', 'get', 'iphon', 'today', 'lose', 'eta', 'thank', 'angri']",0.75
115,10115,A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger,0.688,"['not', 'turn', 'not', 'surpris', 'late', 'work', 'fume']",0.75
116,10116,Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,0.688,"['polic', 'not', 'right', 'human', 'be', 'without', 'provoc', 'orconserv']",0.75
117,10117,angry already,anger,0.688,"['angri', 'alreadi']",0.75
118,10118,... flat party and I instantly get bollocked about it. #fuming,anger,0.69,"['flat', 'parti', 'instant', 'get', 'bollock', 'fume']",0.75
119,10119,@XemitSellsMagic add tracking but resent them,anger,0.688,"['add', 'track', 'resent']",0.75
120,10120,@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688,"['man', 'affront', 'justic', 'system']",0.75
121,10121,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger,0.764,"['someon', 'let', 'snake', 'hous', 'bet', 'kill', 'bugger', 'get', 'hand']",0.75
122,10122,"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger,0.688,"['umm', 'blog', 'say', 'simon', 'stehr', 'fake', 'expect', 'investig', 'forthwith', 'outrag']",0.75
123,10123,@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger,0.688,"['black', 'arm', 'thug', 'record', 'carri', 'gun', 'illeg', 'get', 'shot', 'black', 'cop', 'outrag', 'destroy', 'town']",0.75
124,10124,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger,0.688,"['wake', 'say', 'tri', 'chang', 'nappi', 'rage']",0.75
125,10125,Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger,0.688,"['someon', 'need', 'tell', 'candic', 'stuck', 'shitti', 'pout', 'wind', 'chang', 'gbbo']",0.75
126,10126,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,anger,0.688,"['turn', 'shit', 'home', 'button', 'access', 'innov', 'becom', 'mind', 'fuckeri', 'iphonephonehom']",0.75
127,10127,I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,"['love', 'peopl', 'make', 'plan', 'without', 'actual', 'includ', 'process', 'rage']",0.75
128,10128,"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger,0.688,"['smh', 'remov', 'ideolog', 'bankrupt', 'opportunist', 'establish', 'burn', 'bridg', 'social', 'contract', 'anger']",0.75
129,10129,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.766,"['outrag', 'parti', 'nomin', 'lie', 'corrupt', 'person', 'receiv', 'donat', 'nation', 'support', 'terror']",0.75
130,10130,@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger,0.688,"['even', 'forget', 'pick', 'ur', 'fave', 'child', 'school', 'offend']",0.75
131,10131,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger,0.688,"['get', 'angri', 'peopl', 'not', 'know', 'not', 'stop', 'sign', 'franci', 'foster', 'road', 'rage']",0.75
132,10132,@soyoprincess they irritate me. Them and their inch thick made up masks,anger,0.667,"['irrit', 'inch', 'thick', 'made', 'mask']",0.75
133,10133,@ChurdAllan fucked my coupon that goal! ,anger,0.667,"['fuck', 'coupon', 'goal']",0.75
134,10134,How was Natalie one of the top three favorites?! #toofaced and #bitter 🙄,anger,0.667,"['natali', 'one', 'top', 'three', 'favorit', 'toofac', 'bitter']",0.75
135,10135,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger,0.667,"['democrat', 'voter', 'zero', 'toler', 'honesti', 'associ', 'honesti', 'anger', 'hate']",0.75
136,10136,@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger,0.667,"['rage', 'crookedcourt', 'said', 'rage', 'mani', 'time', 'explain', 'away', 'brutal', 'kill', 'petit', 'hay', 'amp', 'komisarjevski']",0.75
137,10137,"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,0.578,"['not', 'brother', 'protect', 'one', 'anoth', 'one', 'serious', 'make', 'furious', 'not', 'misl', 'think', 'fred', 'mayfield']",0.75
138,10138,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,anger,0.667,"['wake', 'say', 'tri', 'chang', 'nappi']",0.75
139,10139,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,0.667,"['year', 'irrelev', 'absolut', 'joke', 'manutd', 'ticket', 'noloyalti', 'joke', 'notimpress']",0.75
140,10140,All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,anger,0.667,"['hell', 'break', 'loos', 'charlott', 'charlotteprotest', 'anger', 'loot']",0.75
141,10141,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,0.667,"['guy', 'eish', 'guy', 'bring', 'anger', 'life', 'see', 'nje', 'like', 'dark', 'fill', 'know']",0.75
142,10142,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger,0.667,"['hour', 'footbal', 'practic', 'boil', 'sun', 'volleybal', 'practic', 'boil', 'sun']",0.75
143,10143,testing #angry,anger,0.667,"['test', 'angri']",0.75
