tweet_text,sentiment
Hey screenshot sainyo  . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what  . Luv uu so mats ,negative
Looks awesome Annette,negative
 but I can't make it unhappy  Thanks for the heads up though. Please take photos!,negative
 narank 1 ako bcos of yoyou. can you please congratyoulate me even if its already late? unhappy  ,negative
it can't be over unhappy ,negative
RELATABLE unhappy ,negative
how about me unhappy ,negative
Offline  unhappy ,negative
heeeeey notice me unhappy ,negative
i want to hang out with them unhappy ,negative
he was talking with the girl behind jin unhappy ,negative
I need cheering up,negative
 my dog who my family have had for 18 years is being put down tomorrow unhappy ,negative
Molly  1. I wish I could have her hair unhappy  2. Cutest Michael girl  milly on the phone 3. HAIIIIIIR  and your lips 4. Friend5. Yes6. -,negative
even me unhappy  *hugs*,negative
I'm a building a LLVM backend so,negative
 I really need to build it unhappy ,negative
I can't access my school emails from any web browser unhappy  Yet I have so much homework for all my subjects on there,negative
oh sad unhappy  goodluck!,negative
Ouch Elena Eremina's foot slip,negative
 that fall was a mess unhappy ,negative
donny unhappy  ,negative
you're so rude unhappy  ,negative
oh my god same! we should attend on some lessons together sometime just kidding HAHAH ,negative
Every time Meredith has flashbacks of Derek Shepherd I can't hold back the tears unhappy ,negative
Whew! Can't asses myself unhappy ,negative
But I no have round ass crying  ,negative
unhappy  i saw somebody said his hair fell out and bighit trying to figure it out,negative
koh,negative
 tolong bantu sampaikan keluhan ARMYs ke dong. Too many complaint here and there since day 1 of ticketing unhappy ,negative
I keep waking up in the middle of the night sick as shit. unhappy ,negative
I cringed so hard :(That fall was such a shame- she had been looking really good until that point...,negative
man its been about 2hrs since their vlive...its nearly over for sydney ppl... unhappy  goes so quick so appreciate every second!!,negative
Hi Aled,negative
 having no mobile signal sucks unhappy  What's the full postcode for where this is happening? We're keen to help SI,negative
That sucks unhappy ,negative
I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,negative
i really really need them right now unhappy ,negative
Hey guys could you help me by retweeting this? I've heard was legitimate and I really need a VPN account rig,negative
GOD NOT THE KOALAS ,negative
Feeling bad unhappy  with 89 others,negative
And this tweet made me cry!! crying ,negative
I could write paragraphs about it xDShame its theoretically impossible in real life unhappy ,negative
Thank you roshhh  i miss you and everyone too.  love youuu more ,negative
Me too sweetie I know how you feel unhappy ,negative
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,negative
.the person who chose shut the fuck up: unhappy ,negative
sadly yes. since he was expected to continue losing support before dropping bombs unhappy  going up when expe ,negative
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,negative
he could be whatever,negative
 so? sad,negative
But the dub is what I watch for Pokemon unhappy ,negative
are dying of thirst  and it's all because of us unhappy   ,negative
Youngjae during fansign on 04/10/17 constantly massaging his back. Clearly something wrong but pretended he was not,negative
but... you use a purple flowercrown in your display picture unhappy ,negative
i still cant unhappy ,negative
well that's terrible unhappy ,negative
Sorry piss off /3 unhappy ,negative
I woke up at 4:17,negative
 I'm a joke unhappy ,negative
So right! Sir Rob loves to torture us unhappy ,negative
My salary reminds me of the weekends,negative
 I always know when it come but have no fucking clue how it goes unhappy  ,negative
i feel so sick today unhappy ,negative
I wish but I can't sad ,negative
its my birthday tomorrow baby unhappy ,negative
I'm slow unhappy  ,negative
Super unhappy ,negative
trashing others and having a possee behind you boosts your ego,negative
 but not your career. unhappy ,negative
I just finished gym,negative
 had chopsuey before that unhappy  laughing my ass off humble feeds are always the bomb!,negative
Still not possible! unhappy ,negative
whaaaaaaaat!!! You and unhappy  ,negative
You had loads of toys. All I had was a Sweep hand puppet AND the bastard lost its squeak! unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
I should do aegyo because I lost unhappy  ,negative
Also please send prayers and sympathy because my favorite ball dress doesn't fit my boobs crying  ,negative
I miss snsd. I miss my girls unhappy ,negative
Being a parent is very challenging. If we cannot control ourselves we'll give the worst output to the children In other word,negative
 Ngomel crying ,negative
Jonny you and your poor legs make me so sad unhappy  hope you're okay,negative
Hope he's ok,negative
 poor mouse unhappy ,negative
no its okay she survived : ,negative
Yeah! My sight reading was pretty good in high school,negative
 but I'm a bit rusty now! unhappy  ,negative
Me to self: don't buy that.Also me: but I'm a furry unhappy  ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
i love youu so much unhappy  thank you,negative
 and have fun ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
so upsetting the abuse these kids get unhappy   3 ,negative
Oo crying  // Happy3YearsBraceUnited,negative
exactly same in was thinking.. unhappy  ,negative
I'm scared unhappy  I mean. Why the heck did I decide to do laundry at 7:30 pm? What is wrong with me. Did I mention how dark it is. FML,negative
Sunnyside as well unhappy ,negative
y'all want me to choke what'd I do? unhappy   ( ,negative
They have a whole Japan tour ahead of them.. One that will be quite brutal on their already tired bodies. Boys unhappy ,negative
 ahhh I'd be well chuffed,negative
 didn't even get an easter egg this year! unhappy  xx,negative
Can someone buy me a tasbih pls? I don't have one unhappy ,negative
clay and hannah   - they were so in love they deserved to be endgame unhappy  ,negative
please talk to me about nct instant message lonely i need to fangirl once in a while okay crying ,negative
this is so sad what the fuck unhappy ,negative
Please follow me . I have been trying to get your follow for a long time unhappy  . ,negative
I really enjoyed horrizion zero dawn but no idea what to play next unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
No more good conversations here unhappy ,negative
Annoyingly the spaces in the variable width version of the C64 font that's available on the internet are wi ,negative
i don't like their songs after debyout younhappy  so i can syouggest yoyou jyoust one song i really love,negative
 it's Adore you  ,negative
Jackson unhappy  then Youngjae silence  aww,negative
trop retard sad ,negative
i'd rather be sailor uranus but chibiusa but if thats everyone says i am unhappy  rip,negative
And you're right about McConnell as well. Unfortunately,negative
 we seem to have sold our government some time ago. unhappy ,negative
I wish my dogs knew how much I hyped them up on snap chat unhappy ,negative
some people  you intensionly  they don%27t even they please someone unhappy  ,negative
Very sad unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
The most painful goodbyes are the onesthat are never said and never explained crying  unhappy  :/,negative
I miss BMF sad ,negative
you're got to disappear half way too? unhappy  everybody want to being lazy eue,negative
#NAME?,negative
Oh sadly i wont watch her right now  they're forbid me to see her unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
R.I.P cellphone unhappy ,negative
and  on the pic? unhappy ,negative
yeah unhappy ,negative
don't miss you anymore unhappy ,negative
okay what TF is this colorful starbucks thing all over social media unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
Well that's not good unhappy ,negative
Oh boo,negative
 mine isn't in my inbox unhappy ,negative
Didn't keep it unhappy ,negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,negative
Hi Ishwar! That's not the experience we want you to have unhappy  We will call you  for more details and sort it out! - Roshan,negative
We All Know unhappy  ,negative
I'll be as strong as I can but it's hard unhappy  xxx,negative
I lost two streaks and it's from my two favorite people silence  unhappy  good night,negative
I can relate to this so so much unhappy  ,negative
Joy we should get him back  ,negative
I can't do it all on my own. (See what I did there? ) ,negative
and they'll brush it off lng telling others not applicable not applicableg-iinot applicablerte lng sila and that other had it worse than them. unhappy ,negative
usually a speedboat behind any we get here on the river unhappy  ,negative
Omg I see why you don't drink alcohol Haha so glad your having fun all you guys ! Wish I ,negative
This happens ALL the time!  unhappy  ,negative
0 motivation to study unhappy  ,negative
happy birthday sweet sweet girl! i hope you have the best day ever! love and miss you so much unhappy   ,negative
NMD R2's so ugly unhappy  ,negative
my honey unhappy  ,negative
philippines? unhappy  ,negative
I want to but I wouldn't be able to get time off for it and don't know people in my year to go with unhappy  ,negative
unhappy  friendzone. damn sad,negative
I cried so much,negative
 I was a mess. I went to bed feeling numb it was awful unhappy ,negative
 [PLEASE RT] he'll buy me a blinking taehyung headband,negative
 if i get 900 retweets and 900 likes. help me :(un,negative
the email I was hoping I'd get today,negative
 didn't arrive unhappy  here's hoping tomorrow it does,negative
Haha mate its all good I love a debte I just wished the center ,negative
wowwow these are all so cute unhappy  i wantt ,negative
That sucks unhappy ,negative
instant message getting sad unhappy ,negative
wow unhappy  people are so mean  ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
I love them with all my hort unhappy  ,negative
Golly gosh. This is simply dreadful What havoc must be wreaking subsurface? Black salve won't ,negative
Autograph book at the ready,negative
 no sign of Garry Barlow yet sad ,negative
Thank you roshhh  i miss you and everyone too.  love youuu more ,negative
please meeeee you have followed me for almost to  years now unhappy ,negative
what happened unhappy ,negative
True! Khilado kuch unhappy ,negative
realized i havent eaten rice maghapon because i finished 3 packs of spicy seafood noodles + to  extra big chilimansi :(acid attack right now,negative
Post-show blues are hitting hard. unhappy ,negative
all ready for its poster - when my computer gets,negative
good morning unhappy ,negative
Wht sort of thing (can't use word person for it)can cause such suffering to ths sad ,negative
i want to kiss his nose and tell him i love him sad ,negative
i stayed 3 hours on the phone with aD my bubbyyyyyyy i miss her unhappy ,negative
No girl unhappy  that's why. Wa ropiwa 1. Sandton is unnecessarily expensive2. Try salons in Braam.,negative
I was actually looking forward to seeing if your theory around his personal vote was correct unhappy ,negative
Who to bring to MB man unhappy ,negative
I am sad to report that the robins egg my mom found in the yard after a storm has been taken off life support. Poor thing is too frozen unhappy ,negative
Her back unhappy  ,negative
slight buzy kasi besh unhappy  ,negative
When you're late to work because you had to break the news to the lovely lady who cleans the house... crying together unhappy ,negative
They stopped having them when they got rid of the toy surprises at the bottom unhappy ,negative
tell me unhappy  why,negative
i cant find my striped shirt unhappy  so instant message wearing the one that says what is your favorite thing? with lucas in the middle,negative
Guys please help me retweet unhappy  ,negative
there's always shit like this. there's always people who are less deserving getting tickets,negative
 and winning giveaways etc unhappy ,negative
truuuu!! si grim reaper and sunny huhu grabe love story nila unhappy ,negative
I caught a cold. unhappy  It seems I've got tired than I expected....,negative
Shameful,negative
 shameful business :(Stop paying giant corporations for foods you just don't need.... wake up people plea ,negative
I miss my baby unhappy ,negative
HOLY SHIT! 40 pages script of the opening scene of Man Of Steel on Krypton got compressed.I wish I could at least,negative
Late nights ,negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,negative
failed unhappy  .g hehe,negative
I miss my boo so much unhappy ,negative
I need a car unhappy  but no car unhappy  poor me unhappy ,negative
I wish i could attend it too unhappy ,negative
ikr. I would have trauma if i ware him unhappy ,negative
4/20 today,negative
 but it wasn't lit at all unhappy ,negative
why is life so unfair? unhappy ,negative
The biblical lectures are coming. More notification soon. Tomorrow,negative
 in fact. ,negative
I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too sad  I just pick,negative
MUZ U MORE,negative
 SURE NO PROB. ILABYU TOO  ,negative
Such a lucky slave i wish this was me unhappy ,negative
instant message still hoping unhappy  ,negative
fuck unhappy ,negative
i tak ambik wedding package cause i is poor unhappy  i ambik aromaterapi massage je hajxjsjsj. Hehe see uuuu jwa ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
unhappy  let's fight all those kids ,negative
it's not cassandra cain. unhappy  not sure i want to watch batbuffy. batwoman would have been more interesting. ,negative
Half of the time it doesn't load,negative
 the other half of the time it crashes unhappy  It's embarassing when I' ,negative
right i don%27t see how people can just do shit like this ,negative
i miss hoseok unhappy  ,negative
Left few months in HinHua ler unhappy  I need to gambateh wink  ,negative
A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,negative
She loved Beth so much unhappy ,negative
prince baekhyun.....throw me into the dungeon please i don't deserve to see your beautiful face unhappy ,negative
They are family.  It's awful when they go.  Sorry to hear. unhappy ,negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,negative
my honey unhappy  ,negative
We all do unhappy  Pizza in Taiwan! Its like a swift,negative
 flavorful dream ,negative
Can't :(Tello,negative
Swear I just walked past haha,negative
 didn't get a chance to say hi unhappy ,negative
I miss quacktopia! unhappy ,negative
are dying of thirst  and it's all because of us unhappy   ,negative
Goodnight I love these beautiful boys unhappy  ,negative
Why no available in the U.K.? unhappy ,negative
Ailes sure knew how to make a great network!  Fox is going downhill wi ,negative
penge damit unhappy ,negative
I'm sorry unhappy ,negative
Koalas are dying of thirst  and it's all because of us unhappy  ,negative
i'm hungry unhappy ,negative
Finals are next week unhappy  wish me luck x,negative
I miss Temperance Brennan and Seeley Booth so much unhappy ,negative
I miss quacktopia! unhappy ,negative
I said D2 largely because SD D2 doesn't run on newer versions of Mac OS and I miss playing it unhappy   HD woul ,negative
follow mee plss unhappy  ,negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative
Babye old twitter unhappy ,negative
congratyoulations Harry!!!!! Been with you since fifa 13!!!! Miss yoyour younboxing videos unhappy ,negative
can't wait to see you in that film Karl! I wished you would be here were I'm bu,negative
Cram reading unhappy ,negative
I'm job searching and got none so:(ButHedonism i got in abundance,negative
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,negative
Hello I am getting cyber bullied by do something about it unhappy ,negative
Call center nice game 4/20 unhappy ,negative
BES RIP  ,negative
Follow me too unhappy  ,negative
I'll be attending cosmic latte on saturday and i'll give these out to selu shippers KASI SELU MONTH QAQO unhappy  ,negative
baby unhappy  ,negative
I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,negative
friendly fire to wings tour unhappy ,negative
my back hurts sad ,negative
Typed up all the medical  shorthand abbreviation we use for work,negative
 and the dame computer decides to crash unhappy  now I... ,negative
excuse me i don%27t see my nama unhappy ,negative
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative
That's shocking and evil unhappy ,negative
Zac farro is back By the way hehehe So sad Jeremy is not unhappy ,negative
Maa ki kuss tumhari. Now take this bullshit you loser. ,negative
I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again unhappy ,negative
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,negative
base unver ajalah MINAHAES unhappy ,negative
